movieId,title,genres,avg_rating,mood_category,mood_input,energy,company,length_pref,language_pref,industry
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,3.92,Happy,Happy,Medium,Friends,Long (>120 min),Any,Hollywood
2,Jumanji (1995),Adventure|Children|Fantasy,3.43,Thrilled,Excited,High,Family,Long (>120 min),English,Hollywood
3,Grumpier Old Men (1995),Comedy|Romance,3.26,Happy,Neutral,High,Solo,Short (<90 min),English,Hollywood
4,Waiting to Exhale (1995),Comedy|Drama|Romance,2.36,Happy,Happy,High,Partner,Short (<90 min),English,Hollywood
5,Father of the Bride Part II (1995),Comedy,3.07,Happy,Happy,High,Solo,Short (<90 min),Non-English,Hollywood
6,Heat (1995),Action|Crime|Thriller,3.95,Thrilled,Excited,High,Partner,Long (>120 min),English,Hollywood
7,Sabrina (1995),Comedy|Romance,3.19,Happy,Happy,Medium,Family,Short (<90 min),Any,Hollywood
8,Tom and Huck (1995),Adventure|Children,2.88,Thrilled,Excited,Hyper,Friends,Short (<90 min),English,Hollywood
9,Sudden Death (1995),Action,3.12,Thrilled,Happy,High,Friends,Any,Non-English,Hollywood
10,GoldenEye (1995),Action|Adventure|Thriller,3.5,Thrilled,Excited,High,Family,Long (>120 min),English,Hollywood
11,"American President, The (1995)",Comedy|Drama|Romance,3.67,Happy,Happy,Medium,Partner,Short (<90 min),Any,Hollywood
12,Dracula: Dead and Loving It (1995),Comedy|Horror,2.42,Happy,Happy,High,Partner,Any,Any,Hollywood
13,Balto (1995),Adventure|Animation|Children,3.12,Happy,Happy,High,Solo,Any,Non-English,Hollywood
14,Nixon (1995),Drama,3.83,Dreamy,Chill,Low,Partner,Any,Any,Hollywood
15,Cutthroat Island (1995),Action|Adventure|Romance,3.0,Thrilled,Excited,Hyper,Solo,Any,English,Hollywood
16,Casino (1995),Crime|Drama,3.93,Dreamy,Chill,Low,Partner,Long (>120 min),English,Hollywood
17,Sense and Sensibility (1995),Drama|Romance,3.78,Dreamy,Sad,Medium,Partner,Any,Non-English,Hollywood
18,Four Rooms (1995),Comedy,3.7,Happy,Happy,Medium,Family,Any,English,Hollywood
19,Ace Ventura: When Nature Calls (1995),Comedy,2.73,Happy,Neutral,Medium,Partner,Any,Non-English,Hollywood
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,2.5,Happy,Neutral,Medium,Solo,Any,Any,Hollywood
21,Get Shorty (1995),Comedy|Crime|Thriller,3.49,Happy,Happy,High,Friends,Long (>120 min),Any,Hollywood
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,3.22,Dreamy,Chill,Low,Friends,Any,English,Hollywood
23,Assassins (1995),Action|Crime|Thriller,3.12,Thrilled,Happy,High,Solo,Long (>120 min),Non-English,Hollywood
24,Powder (1995),Drama|Sci-Fi,3.12,Thrilled,Happy,High,Partner,Any,English,Hollywood
25,Leaving Las Vegas (1995),Drama|Romance,3.62,Dreamy,Sad,Low,Partner,Long (>120 min),Any,Hollywood
26,Othello (1995),Drama,3.5,Dreamy,Chill,Low,Solo,Any,Non-English,Hollywood
27,Now and Then (1995),Children|Drama,3.33,Dreamy,Chill,Medium,Solo,Short (<90 min),Any,Hollywood
28,Persuasion (1995),Drama|Romance,4.23,Dreamy,Sad,Medium,Solo,Any,Any,Hollywood
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,4.01,Thrilled,Excited,Hyper,Solo,Short (<90 min),Any,Hollywood
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,3.0,Dreamy,Chill,Medium,Family,Any,English,Hollywood
31,Dangerous Minds (1995),Drama,3.18,Dreamy,Sad,Medium,Partner,Short (<90 min),Non-English,Hollywood
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,3.98,Thrilled,Excited,Hyper,Friends,Short (<90 min),Non-English,Hollywood
34,Babe (1995),Children|Drama,3.65,Dreamy,Sad,Medium,Family,Short (<90 min),Non-English,Hollywood
36,Dead Man Walking (1995),Crime|Drama,3.84,Dreamy,Sad,Medium,Family,Any,Any,Hollywood
38,It Takes Two (1995),Children|Comedy,2.12,Happy,Neutral,High,Partner,Short (<90 min),English,Hollywood
39,Clueless (1995),Comedy|Romance,3.29,Happy,Happy,High,Solo,Short (<90 min),Non-English,Hollywood
40,"Cry, the Beloved Country (1995)",Drama,4.25,Dreamy,Sad,Low,Solo,Any,Non-English,Hollywood
41,Richard III (1995),Drama|War,3.7,Dreamy,Chill,Medium,Solo,Any,Any,Hollywood
42,Dead Presidents (1995),Action|Crime|Drama,3.0,Thrilled,Happy,Hyper,Solo,Any,Non-English,Hollywood
43,Restoration (1995),Drama,3.19,Dreamy,Chill,Medium,Solo,Short (<90 min),Non-English,Hollywood
44,Mortal Kombat (1995),Action|Adventure|Fantasy,2.54,Thrilled,Happy,Hyper,Friends,Long (>120 min),English,Hollywood
45,To Die For (1995),Comedy|Drama|Thriller,3.31,Happy,Neutral,Medium,Solo,Any,English,Hollywood
46,How to Make an American Quilt (1995),Drama|Romance,3.07,Dreamy,Chill,Medium,Family,Any,English,Hollywood
47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,3.98,Scared,Excited,High,Solo,Any,English,Hollywood
48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,3.15,Happy,Happy,Medium,Solo,Short (<90 min),Non-English,Hollywood
49,When Night Is Falling (1995),Drama|Romance,3.0,Dreamy,Chill,Medium,Solo,Short (<90 min),Any,Hollywood
50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,4.24,Scared,Neutral,High,Family,Any,Non-English,Hollywood
52,Mighty Aphrodite (1995),Comedy|Drama|Romance,3.46,Happy,Happy,Medium,Partner,Any,Any,Hollywood
53,Lamerica (1994),Adventure|Drama,5.0,Thrilled,Excited,Hyper,Partner,Long (>120 min),English,Hollywood
54,"Big Green, The (1995)",Children|Comedy,2.33,Happy,Happy,High,Partner,Any,Any,Hollywood
55,Georgia (1995),Drama,4.0,Dreamy,Sad,Low,Family,Short (<90 min),Non-English,Hollywood
57,Home for the Holidays (1995),Drama,3.06,Dreamy,Sad,Low,Partner,Long (>120 min),Any,Hollywood
58,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance,4.03,Happy,Neutral,High,Family,Short (<90 min),Non-English,Hollywood
60,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy,3.24,Thrilled,Happy,Hyper,Family,Short (<90 min),English,Hollywood
61,Eye for an Eye (1996),Drama|Thriller,3.75,Dreamy,Chill,Low,Solo,Long (>120 min),English,Hollywood
62,Mr. Holland's Opus (1995),Drama,3.71,Dreamy,Sad,Low,Family,Any,Non-English,Hollywood
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime,2.71,Happy,Neutral,Medium,Solo,Any,Non-English,Hollywood
64,Two if by Sea (1996),Comedy|Romance,2.2,Happy,Happy,High,Friends,Short (<90 min),English,Hollywood
65,Bio-Dome (1996),Comedy,2.53,Happy,Neutral,Medium,Friends,Any,Non-English,Hollywood
66,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller,2.5,Thrilled,Excited,Hyper,Solo,Any,Any,Hollywood
68,French Twist (Gazon maudit) (1995),Comedy|Romance,3.4,Happy,Happy,High,Family,Short (<90 min),English,Hollywood
69,Friday (1995),Comedy,3.78,Happy,Happy,Medium,Family,Long (>120 min),Any,Hollywood
70,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller,3.51,Happy,Happy,High,Friends,Short (<90 min),English,Hollywood
71,Fair Game (1995),Action,1.7,Thrilled,Happy,Hyper,Family,Long (>120 min),Any,Hollywood
72,Kicking and Screaming (1995),Comedy|Drama,3.21,Happy,Neutral,High,Partner,Any,Non-English,Hollywood
73,"Misérables, Les (1995)",Drama|War,3.46,Dreamy,Sad,Medium,Solo,Long (>120 min),Non-English,Hollywood
74,Bed of Roses (1996),Drama|Romance,4.0,Dreamy,Chill,Medium,Solo,Short (<90 min),Any,Hollywood
75,Big Bully (1996),Comedy|Drama,2.2,Happy,Neutral,High,Solo,Long (>120 min),Non-English,Hollywood
76,Screamers (1995),Action|Sci-Fi|Thriller,3.4,Thrilled,Excited,Hyper,Friends,Any,English,Hollywood
77,Nico Icon (1995),Documentary,4.0,Thoughtful,Sad,Exhausted,Partner,Short (<90 min),Any,Hollywood
78,"Crossing Guard, The (1995)",Action|Crime|Drama|Thriller,3.33,Thrilled,Excited,High,Partner,Short (<90 min),Non-English,Hollywood
79,"Juror, The (1996)",Drama|Thriller,2.76,Dreamy,Sad,Medium,Family,Any,English,Hollywood
80,"White Balloon, The (Badkonake sefid) (1995)",Children|Drama,4.0,Dreamy,Sad,Low,Solo,Long (>120 min),Any,Hollywood
81,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance,3.11,Dreamy,Sad,Medium,Solo,Any,English,Hollywood
82,Antonia's Line (Antonia) (1995),Comedy|Drama,3.88,Happy,Happy,High,Partner,Short (<90 min),Non-English,Hollywood
83,Once Upon a Time... When We Were Colored (1995),Drama|Romance,3.0,Dreamy,Chill,Medium,Family,Short (<90 min),English,Hollywood
85,Angels and Insects (1995),Drama|Romance,3.86,Dreamy,Sad,Medium,Solo,Any,English,Hollywood
86,White Squall (1996),Action|Adventure|Drama,3.97,Thrilled,Excited,High,Solo,Any,Any,Hollywood
87,Dunston Checks In (1996),Children|Comedy,2.5,Happy,Neutral,Medium,Solo,Short (<90 min),Any,Hollywood
88,Black Sheep (1996),Comedy,3.16,Happy,Neutral,High,Friends,Short (<90 min),English,Hollywood
89,Nick of Time (1995),Action|Thriller,3.25,Thrilled,Happy,High,Solo,Any,English,Hollywood
92,Mary Reilly (1996),Drama|Horror|Thriller,2.62,Dreamy,Chill,Medium,Friends,Short (<90 min),English,Hollywood
